ID,Flights,Unique Registrations,Unique Airlines,Weight,Max Distance,Version,Subtype
7AH_Y189,172,3,1,45032.0,8047.1893939178035,Y189,7AH
7MB_Y197,7,1,1,44872.0,1221.8309924377015,Y197,7MB
7MY_Y186,148,2,1,45078.0,15137.211700247191,Y186,7MY
7AL_Y189,115,2,1,44170.0,8047.1893939178035,Y189,7AL
7MA_Y189,736,9,1,44463.0,8047.1893939178035,Y189,7MA
7MZ_Y174,574,5,1,44562.0,8047.1893939178035,Y174,7MZ
7MX_Y185,100,2,1,44389.0,15137.211700247191,Y185,7MX
7MA_Y185,1,2,1,44360.0,2039.3081863143304,Y185,7MA
7AH_Y185,1,1,1,2039.3081863143304,,Y185,7AH
7MY_Y174,6,1,1,44404.0,7348.937869754446,Y174,7MY
333_Y287J1030,3,2,1,123738.0,6699.4136604069145,Y287J1030,333
333_Y287J30,99,7,1,123738.0,6804.570350534482,Y287J30,333
332_Y248J23,15,1,1,119209.0,8318.068175258386,Y248J23,332
332_Y243J23,14,1,1,120219.0,7283.431663913014,Y243J23,332
333_Y283J30,68,5,1,124409.0,8318.068175258386,Y283J30,333
32Q_Y168J16,151,8,1,52274.0,5562.281603636098,Y168J16,32Q
332_Y258J23,17,1,1,120424.0,6541.432782010784,Y258J23,332
332.0_Y258J23,1,1,1,120424.0,5895.319986708183,Y258J23,332.0
332.0_Y248J23,1,1,1,120424.0,5260.588089040736,Y248J23,332.0
32N_Y180J4,56,3,1,43414.0,1381.7345868264563,Y180J4,32N
32N_Y186,118,4,1,43414.0,2074.3062438787656,Y186,32N
320_Y168J4,260,27,1,43414.0,1643.2415379637373,Y168J4,320
320_Y1168J4,3,4,1,43414.0,449.25801502731446,Y1168J4,320
320.0_Y168J4,3,2,1,41889.0,785.0860540286552,Y168J4,320.0
320_Y174,246,27,1,41889.0,3270.770265885952,Y174,320
32Q_Y184,3,2,1,52301.0,1600.640009830011,Y184,32Q
32N_Y174,2044,36,2,43591.0,4569.514654225096,Y174,32N
32Q_Y168C16,1,1,1,52301.0,5463.900501346962,Y168C16,32Q
320_Y72,1,1,1,41889.0,337.20395341993196,Y72,320
AT7_Y72,1,1,1,225.0984967305325,,Y72,AT7
E95_Y118,2480,34,1,29159.0,2307.3587493712794,Y118,E95
AT9_Y68,479,9,1,13273.0,10326.860149360413,Y68,AT9
295_Y136,1419,19,1,35914.0,2330.0554877307127,Y136,295
AT9_Y70,1163,34,1,13288.0,10326.860149360413,Y70,AT9
32A_Y165,475,9,1,44613.0,2620.011530346018,Y165,32A
32A_Y162,121,2,1,44601.0,2620.011530346018,Y162,32A
AT9_Y72,434,13,1,13285.0,10326.860149360413,Y72,AT9
32Q_Y214,300,6,1,49627.0,2836.6112969981655,Y214,32Q
73P_CARGO,24,2,1,32450.0,2620.011530346018,CARGO,73P
AT9_AT1CARGO,16,3,1,12577.0,865.5093461468737,AT1CARGO,AT9
EJF_CARGO,23,1,1,27757.0,2620.011530346018,CARGO,EJF
EJF_Y118,1,1,1,29245.0,960.0174285428544,Y118,EJF
CN1_Y9,68,13,1,16213.146214539964,,Y9,CN1
330_C35Y205,26,2,1,119361.0,9366.114617672436,C35Y205,330
339_C34Y264,45,5,1,129330.0,9366.114617672436,C34Y264,339
332_C20Y249,9,1,1,118702.0,9366.114617672436,C20Y249,332
359_C33Y301,1,1,1,119361.0,6512.537582109713,C33Y301,359
334_C12Y365,12,1,1,6791.619642099366,,C12Y365,334
